theme,url,img,lines,author
MINDFULNESS,/inspirational-quotes/7351-your-vision-will-become-clear-only-when-you,https://assets.passiton.com/quotes/quote_artwork/7351/medium/20210325_thursday_quote.jpg?1616003614,"Your vision will become clear only when you look into your heart. Who looks outside, dreams. Who looks inside awakens.",<Author:0x00007f5b3a943440>
MINDFULNESS,/inspirational-quotes/8198-mindfulness-is-not-a-mechanical-process-it-is,https://assets.passiton.com/quotes/quote_artwork/8198/medium/20210324_wednesday_quote.jpg?1616003584,"Mindfulness is not a mechanical process. It is developing a very gentle, kind, and creative awareness to the present moment.",<Author:0x00007f5b3a96b378>
MINDFULNESS,/inspirational-quotes/7768-a-few-simple-tips-for-life-feet-on-the-ground,https://assets.passiton.com/quotes/quote_artwork/7768/medium/20210323_tuesday_quote.jpg?1616003561,"A few simple tips for life: feet on the ground, head to the skies, heart open-quiet mind.",<Author:0x00007f5b3aa65d28>
MINDFULNESS,/inspirational-quotes/7131-mindfulness-is-the-aware-balanced-acceptance,https://assets.passiton.com/quotes/quote_artwork/7131/medium/20210322_monday_quote.jpg?1616003529,"Mindfulness is the aware, balanced acceptance of the present experience... It is opening to or receiving the present moment, pleasant or unpleasant, just as it is, without either clinging to it or rejecting it.",<Author:0x00007f5b3aa9bf40>
INNOVATION,/inspirational-quotes/8197-creativity-is-thinking-up-new-things,https://assets.passiton.com/quotes/quote_artwork/8197/medium/20210319_friday_quote.jpg?1615507686,Creativity is thinking up new things. Innovation is doing new things.,<Author:0x00007f5b3aac2b40>
INNOVATION,/inspirational-quotes/7823-innovation-is-taking-two-things-that-already,https://assets.passiton.com/quotes/quote_artwork/7823/medium/20210318_thursday_quote.jpg?1615507664,Innovation is taking two things that already exist and putting them together in a new way.,<Author:0x00007f5b3aaec508>
INNOVATION,/inspirational-quotes/8196-innovation-is-the-ability-to-see-change-as-an,https://assets.passiton.com/quotes/quote_artwork/8196/medium/20210317_wednesday_quote.jpg?1615507634,Innovation is the ability to see change as an opportunity – not a threat.,<Author:0x00007f5b3ab33a98>
INNOVATION,/inspirational-quotes/7826-the-world-needs-dreamers-and-the-world-needs,https://assets.passiton.com/quotes/quote_artwork/7826/medium/20210316_tuesday_quote.jpg?1615507606,The world needs dreamers and the world needs doers. But above all what the world needs most are dreamers that do.,<Author:0x00007f5b3ab5d2f8>
INNOVATION,/inspirational-quotes/7824-what-good-is-an-idea-if-it-remains-an-idea,https://assets.passiton.com/quotes/quote_artwork/7824/medium/20210315_monday_quote.jpg?1615507581,What good is an idea if it remains an idea? Try. Experiment. Iterate. Fail. Try again. Change the world.,<Author:0x00007f5b3ab84100>
DETERMINATION,/inspirational-quotes/7031-nobody-grows-old-by-merely-living-a-number-of,https://assets.passiton.com/quotes/quote_artwork/7031/medium/20210312_friday_quote.jpg?1614900784,"Nobody grows old by merely living a number of years. People grow old by deserting their ideals. Years may wrinkle the skin, but to give up wrinkles the soul.",<Author:0x00007f5b3abb6628>
DETERMINATION,/inspirational-quotes/3926-fall-seven-times-stand-up-eight,https://assets.passiton.com/quotes/quote_artwork/3926/medium/20210311_thursday_quote.jpg?1614900744,"Fall seven times, stand up eight.",<Author:0x00007f5b3abd9470>
DETERMINATION,/inspirational-quotes/8195-some-succeed-because-they-are-destined-to-but,https://assets.passiton.com/quotes/quote_artwork/8195/medium/20210310_wednesday_quote.jpg?1614900721,"Some succeed because they are destined to, but most succeed because they are determined to.",<Author:0x00007f5b3abfa080>
DETERMINATION,/inspirational-quotes/6714-if-you-have-made-mistakes-even-serious-ones,https://assets.passiton.com/quotes/quote_artwork/6714/medium/20210309_tuesday_quote.jpg?1614900696,"If you have made mistakes, even serious ones, there is always another chance for you.  What we call failure is not the falling down, but the staying down.",<Author:0x00007f5b3ac1e200>
DETERMINATION,/inspirational-quotes/4218-there-is-no-chance-no-destiny-no-fate-that,https://assets.passiton.com/quotes/quote_artwork/4218/medium/20210308_monday_quote.jpg?1614900669,"There is no chance, no destiny, no fate, that can hinder or control the firm resolve of a determined soul.",<Author:0x00007f5b3ac5cbb8>
FRIENDSHIP,/inspirational-quotes/8194-friendship-is-a-strong-and-habitual-inclination,https://assets.passiton.com/quotes/quote_artwork/8194/medium/20210305_friday_quote.jpg?1614384615,Friendship is a strong and habitual inclination in two persons to promote the good and happiness of one another.,<Author:0x00007f5b3ac89c30>
FRIENDSHIP,/inspirational-quotes/7438-the-most-beautiful-discovery-true-friends-make,https://assets.passiton.com/quotes/quote_artwork/7438/medium/20210304_thursday_quote.jpg?1614384591,The most beautiful discovery true friends make is that they can grow separately without growing apart.,<Author:0x00007f5b3acafc50>
FRIENDSHIP,/inspirational-quotes/8193-friends-are-the-family-you-choose,https://assets.passiton.com/quotes/quote_artwork/8193/medium/20210303_wednesday_quote.jpg?1614384566,Friends are the family you choose.,<Author:0x000055da62ad5678>
FRIENDSHIP,/inspirational-quotes/8192-anything-is-possible-when-you-have-the-right,https://assets.passiton.com/quotes/quote_artwork/8192/medium/20210302_tuesday_quote.jpg?1614384547,Anything is possible when you have the right people there to support you.,<Author:0x000055da638b3588>
FRIENDSHIP,/inspirational-quotes/7641-friends-are-medicine-for-a-wounded-heart-and,https://assets.passiton.com/quotes/quote_artwork/7641/medium/20210301_monday_quote.jpg?1614384524,Friends are medicine for a wounded heart and vitamins for a hopeful soul.,<Author:0x000055da64322fa0>
LIVE LIFE,/inspirational-quotes/7384-find-life-experiences-and-swallow-them-whole,https://assets.passiton.com/quotes/quote_artwork/7384/medium/20210226_friday_quote.jpg?1613752730,Find life experiences and swallow them whole. Travel. Meet many people. Exhaust yourself in the glorious pursuit of life.,<Author:0x000055da645bcd38>
LIVE LIFE,/inspirational-quotes/4250-do-not-let-making-a-living-prevent-you-from,https://assets.passiton.com/quotes/quote_artwork/4250/medium/20210225_thursday_quote.jpg?1613752695,Do not let making a living prevent you from making a life.,<Author:0x000055da647b9000>
LIVE LIFE,/inspirational-quotes/6746-you-have-brains-in-your-head-you-have-feet-in,https://assets.passiton.com/quotes/quote_artwork/6746/medium/20210224_wednesday_quote.jpg?1613752671,You have brains in your head. You have feet in your shoes. You can steer yourself in any direction you choose. You're on your own. And you know what you know. You are the one who'll decide where to go. ,<Author:0x000055da65150aa0>
PATIENCE,/inspirational-quotes/7726-have-patience-all-things-are-difficult-before,https://assets.passiton.com/quotes/quote_artwork/7726/medium/20210408_thursday_quote.jpg?1617247212,Have patience. All things are difficult before they become easy. ,<Author:0x00007f5b3a789960>
PATIENCE,/inspirational-quotes/8076-patience-is-a-form-of-wisdom-it-demonstrates,https://assets.passiton.com/quotes/quote_artwork/8076/medium/20210407_wednesday_quote.jpg?1617247192,Patience is a form of wisdom. It demonstrates that we understand and accept the fact that sometimes things must unfold in their own time.,<Author:0x00007f5b3a7b8cb0>
PATIENCE,/inspirational-quotes/7725-patience-is-not-simply-the-ability-to-wait,https://assets.passiton.com/quotes/quote_artwork/7725/medium/20210406_tuesday_quote.jpg?1617247172,Patience is not simply the ability to wait - it's how we behave while we're waiting. ,<Author:0x00007f5b3a7e55d0>
PATIENCE,/inspirational-quotes/7167-patience-is-power-patience-is-not-an-absence,https://assets.passiton.com/quotes/quote_artwork/7167/medium/20210405_monday_quote.jpg?1617247155,"Patience is power. Patience is not an absence of action; rather it is ""timing"" it waits on the right time to act, for the right principles and in the right way.",<Author:0x00007f5b3a81f398>
COMPASSION,/inspirational-quotes/8201-compassion-for-others-begins-with-kindness-to,https://assets.passiton.com/quotes/quote_artwork/8201/medium/20210402_friday_quote_alt.jpg?1616790848,Compassion for others begins with kindness to ourselves.,<Author:0x00007f5b3a84b588>
COMPASSION,/inspirational-quotes/7236-a-kind-gesture-can-reach-a-wound-that-only,https://assets.passiton.com/quotes/quote_artwork/7236/medium/20210401_thursday_quote.jpg?1616790660,A kind gesture can reach a wound that only compassion can heal.,<Author:0x00007f5b3a88d140>
COMPASSION,/inspirational-quotes/6166-our-task-must-be-to-widen-our-circle-of,https://assets.passiton.com/quotes/quote_artwork/6166/medium/20210331_wednesday_quote.jpg?1616790633,"Our task must be to widen our circle of compassion, to embrace all living creatures and the whole of nature in its beauty. ",<Author:0x00007f5b3a8cbeb8>
COMPASSION,/inspirational-quotes/8200-there-never-was-any-heart-truly-great-and,https://assets.passiton.com/quotes/quote_artwork/8200/medium/20210330_tuesday_quote.jpg?1616790607,"There never was any heart truly great and generous, that was not also tender and compassionate.",<Author:0x00007f5b3a8f6be0>
COMPASSION,/inspirational-quotes/8199-compassion-is-a-power-that-we-first-bestow-on,https://assets.passiton.com/quotes/quote_artwork/8199/medium/20210329_monday_quote.jpg?1616790583,"Compassion is a power that we first bestow on ourselves and then give away through our actions—to people, to our planet. When we recognize this, that is when love becomes our legacy. ",<Author:0x00007f5b3a9763b8>
MINDFULNESS,/inspirational-quotes/7128-surrender-to-what-is-let-go-of-what-was-have,https://assets.passiton.com/quotes/quote_artwork/7128/medium/20210326_friday_quote.jpg?1616003638,"Surrender to what is, let go of what was, have faith in what will be. ",<Author:0x00007f5b3a91f338>
MINDFULNESS,/inspirational-quotes/7351-your-vision-will-become-clear-only-when-you,https://assets.passiton.com/quotes/quote_artwork/7351/medium/20210325_thursday_quote.jpg?1616003614,"Your vision will become clear only when you look into your heart. Who looks outside, dreams. Who looks inside awakens.",<Author:0x00007f5b3a943440>
MINDFULNESS,/inspirational-quotes/8198-mindfulness-is-not-a-mechanical-process-it-is,https://assets.passiton.com/quotes/quote_artwork/8198/medium/20210324_wednesday_quote.jpg?1616003584,"Mindfulness is not a mechanical process. It is developing a very gentle, kind, and creative awareness to the present moment.",<Author:0x00007f5b3a96b378>
MINDFULNESS,/inspirational-quotes/7768-a-few-simple-tips-for-life-feet-on-the-ground,https://assets.passiton.com/quotes/quote_artwork/7768/medium/20210323_tuesday_quote.jpg?1616003561,"A few simple tips for life: feet on the ground, head to the skies, heart open-quiet mind.",<Author:0x00007f5b3aa65d28>
MINDFULNESS,/inspirational-quotes/7131-mindfulness-is-the-aware-balanced-acceptance,https://assets.passiton.com/quotes/quote_artwork/7131/medium/20210322_monday_quote.jpg?1616003529,"Mindfulness is the aware, balanced acceptance of the present experience... It is opening to or receiving the present moment, pleasant or unpleasant, just as it is, without either clinging to it or rejecting it.",<Author:0x00007f5b3aa9bf40>
INNOVATION,/inspirational-quotes/8197-creativity-is-thinking-up-new-things,https://assets.passiton.com/quotes/quote_artwork/8197/medium/20210319_friday_quote.jpg?1615507686,Creativity is thinking up new things. Innovation is doing new things.,<Author:0x00007f5b3aac2b40>
INNOVATION,/inspirational-quotes/7823-innovation-is-taking-two-things-that-already,https://assets.passiton.com/quotes/quote_artwork/7823/medium/20210318_thursday_quote.jpg?1615507664,Innovation is taking two things that already exist and putting them together in a new way.,<Author:0x00007f5b3aaec508>
INNOVATION,/inspirational-quotes/8196-innovation-is-the-ability-to-see-change-as-an,https://assets.passiton.com/quotes/quote_artwork/8196/medium/20210317_wednesday_quote.jpg?1615507634,Innovation is the ability to see change as an opportunity – not a threat.,<Author:0x00007f5b3ab33a98>
INNOVATION,/inspirational-quotes/7826-the-world-needs-dreamers-and-the-world-needs,https://assets.passiton.com/quotes/quote_artwork/7826/medium/20210316_tuesday_quote.jpg?1615507606,The world needs dreamers and the world needs doers. But above all what the world needs most are dreamers that do.,<Author:0x00007f5b3ab5d2f8>
INNOVATION,/inspirational-quotes/7824-what-good-is-an-idea-if-it-remains-an-idea,https://assets.passiton.com/quotes/quote_artwork/7824/medium/20210315_monday_quote.jpg?1615507581,What good is an idea if it remains an idea? Try. Experiment. Iterate. Fail. Try again. Change the world.,<Author:0x00007f5b3ab84100>
DETERMINATION,/inspirational-quotes/7031-nobody-grows-old-by-merely-living-a-number-of,https://assets.passiton.com/quotes/quote_artwork/7031/medium/20210312_friday_quote.jpg?1614900784,"Nobody grows old by merely living a number of years. People grow old by deserting their ideals. Years may wrinkle the skin, but to give up wrinkles the soul.",<Author:0x00007f5b3abb6628>
DETERMINATION,/inspirational-quotes/3926-fall-seven-times-stand-up-eight,https://assets.passiton.com/quotes/quote_artwork/3926/medium/20210311_thursday_quote.jpg?1614900744,"Fall seven times, stand up eight.",<Author:0x00007f5b3abd9470>
DETERMINATION,/inspirational-quotes/8195-some-succeed-because-they-are-destined-to-but,https://assets.passiton.com/quotes/quote_artwork/8195/medium/20210310_wednesday_quote.jpg?1614900721,"Some succeed because they are destined to, but most succeed because they are determined to.",<Author:0x00007f5b3abfa080>
DETERMINATION,/inspirational-quotes/6714-if-you-have-made-mistakes-even-serious-ones,https://assets.passiton.com/quotes/quote_artwork/6714/medium/20210309_tuesday_quote.jpg?1614900696,"If you have made mistakes, even serious ones, there is always another chance for you.  What we call failure is not the falling down, but the staying down.",<Author:0x00007f5b3ac1e200>
DETERMINATION,/inspirational-quotes/4218-there-is-no-chance-no-destiny-no-fate-that,https://assets.passiton.com/quotes/quote_artwork/4218/medium/20210308_monday_quote.jpg?1614900669,"There is no chance, no destiny, no fate, that can hinder or control the firm resolve of a determined soul.",<Author:0x00007f5b3ac5cbb8>
FRIENDSHIP,/inspirational-quotes/8194-friendship-is-a-strong-and-habitual-inclination,https://assets.passiton.com/quotes/quote_artwork/8194/medium/20210305_friday_quote.jpg?1614384615,Friendship is a strong and habitual inclination in two persons to promote the good and happiness of one another.,<Author:0x00007f5b3ac89c30>
FRIENDSHIP,/inspirational-quotes/7438-the-most-beautiful-discovery-true-friends-make,https://assets.passiton.com/quotes/quote_artwork/7438/medium/20210304_thursday_quote.jpg?1614384591,The most beautiful discovery true friends make is that they can grow separately without growing apart.,<Author:0x00007f5b3acafc50>
FRIENDSHIP,/inspirational-quotes/8193-friends-are-the-family-you-choose,https://assets.passiton.com/quotes/quote_artwork/8193/medium/20210303_wednesday_quote.jpg?1614384566,Friends are the family you choose.,<Author:0x000055da62ad5678>
FRIENDSHIP,/inspirational-quotes/8192-anything-is-possible-when-you-have-the-right,https://assets.passiton.com/quotes/quote_artwork/8192/medium/20210302_tuesday_quote.jpg?1614384547,Anything is possible when you have the right people there to support you.,<Author:0x000055da638b3588>
FRIENDSHIP,/inspirational-quotes/7641-friends-are-medicine-for-a-wounded-heart-and,https://assets.passiton.com/quotes/quote_artwork/7641/medium/20210301_monday_quote.jpg?1614384524,Friends are medicine for a wounded heart and vitamins for a hopeful soul.,<Author:0x000055da64322fa0>
LIVE LIFE,/inspirational-quotes/7384-find-life-experiences-and-swallow-them-whole,https://assets.passiton.com/quotes/quote_artwork/7384/medium/20210226_friday_quote.jpg?1613752730,Find life experiences and swallow them whole. Travel. Meet many people. Exhaust yourself in the glorious pursuit of life.,<Author:0x000055da645bcd38>
LIVE LIFE,/inspirational-quotes/4250-do-not-let-making-a-living-prevent-you-from,https://assets.passiton.com/quotes/quote_artwork/4250/medium/20210225_thursday_quote.jpg?1613752695,Do not let making a living prevent you from making a life.,<Author:0x000055da647b9000>
LIVE LIFE,/inspirational-quotes/6746-you-have-brains-in-your-head-you-have-feet-in,https://assets.passiton.com/quotes/quote_artwork/6746/medium/20210224_wednesday_quote.jpg?1613752671,You have brains in your head. You have feet in your shoes. You can steer yourself in any direction you choose. You're on your own. And you know what you know. You are the one who'll decide where to go. ,<Author:0x000055da65150aa0>
